brit_id,pth_url,ark,title,date,relation,relation_url,relation_type
BRIT-A-AR003-003-03-092,https://texashistory.unt.edu/ark/67531/metapth1673362,ark/67531/metapth1673362,"['[Temple building at Wat Saket, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-091,https://texashistory.unt.edu/ark/67531/metapth1673361,ark/67531/metapth1673361,"['[Wat Saket temple, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-096,https://texashistory.unt.edu/ark/67531/metapth1673366,ark/67531/metapth1673366,"['[Building, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-097,https://texashistory.unt.edu/ark/67531/metapth1673367,ark/67531/metapth1673367,"['[Buildings, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-095,https://texashistory.unt.edu/ark/67531/metapth1673365,ark/67531/metapth1673365,"['[Monk walking in a street, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-099,https://texashistory.unt.edu/ark/67531/metapth1673369,ark/67531/metapth1673369,"['[People on boats, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-098,https://texashistory.unt.edu/ark/67531/metapth1673368,ark/67531/metapth1673368,"['[Monks rowing a boat, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-103,https://texashistory.unt.edu/ark/67531/metapth1673373,ark/67531/metapth1673373,"['[Person in boat, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-100,https://texashistory.unt.edu/ark/67531/metapth1673370,ark/67531/metapth1673370,"['[Houses on a river, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-101,https://texashistory.unt.edu/ark/67531/metapth1673371,ark/67531/metapth1673371,"['[Nypa fruticans in Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-102,https://texashistory.unt.edu/ark/67531/metapth1673372,ark/67531/metapth1673372,"['[Boats next to a dock, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-107,https://texashistory.unt.edu/ark/67531/metapth1673377,ark/67531/metapth1673377,"['[Floating market, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-104,https://texashistory.unt.edu/ark/67531/metapth1673374,ark/67531/metapth1673374,"['[Person in boat, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-108,https://texashistory.unt.edu/ark/67531/metapth1673378,ark/67531/metapth1673378,"['[Floating market, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-106,https://texashistory.unt.edu/ark/67531/metapth1673376,ark/67531/metapth1673376,"['[People in boats with fruit, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-105,https://texashistory.unt.edu/ark/67531/metapth1673375,ark/67531/metapth1673375,"['[Nypa palm fruits, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-111,https://texashistory.unt.edu/ark/67531/metapth1673381,ark/67531/metapth1673381,"['[Wat Arun temple, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-109,https://texashistory.unt.edu/ark/67531/metapth1673379,ark/67531/metapth1673379,"['[Floating market in Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-113,https://texashistory.unt.edu/ark/67531/metapth1673383,ark/67531/metapth1673383,"['[Wat Arun temple, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-110,https://texashistory.unt.edu/ark/67531/metapth1673380,ark/67531/metapth1673380,"['[Boat docked in front of a temple, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-112,https://texashistory.unt.edu/ark/67531/metapth1673382,ark/67531/metapth1673382,"['[Wat Arun temple, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-114,https://texashistory.unt.edu/ark/67531/metapth1673384,ark/67531/metapth1673384,"['[Structure in Wat Arun complex, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-115,https://texashistory.unt.edu/ark/67531/metapth1673385,ark/67531/metapth1673385,"['[Aerial view of prang in Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-116,https://texashistory.unt.edu/ark/67531/metapth1673386,ark/67531/metapth1673386,"['[Aerial view of prang in Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-117,https://texashistory.unt.edu/ark/67531/metapth1673387,ark/67531/metapth1673387,"['[Aerial view of prang in Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-120,https://texashistory.unt.edu/ark/67531/metapth1673390,ark/67531/metapth1673390,"['[Aerial view of prang in Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-121,https://texashistory.unt.edu/ark/67531/metapth1673391,ark/67531/metapth1673391,"['[Unidentified building at Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-122,https://texashistory.unt.edu/ark/67531/metapth1673392,ark/67531/metapth1673392,"['[Unidentified building at Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-118,https://texashistory.unt.edu/ark/67531/metapth1673388,ark/67531/metapth1673388,"['[Aerial view of prang in Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-119,https://texashistory.unt.edu/ark/67531/metapth1673389,ark/67531/metapth1673389,"['[Aerial view of prang at Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-123,https://texashistory.unt.edu/ark/67531/metapth1673393,ark/67531/metapth1673393,"['[Aerial view of Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-126,https://texashistory.unt.edu/ark/67531/metapth1673396,ark/67531/metapth1673396,"['[Unidentified building, Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-124,https://texashistory.unt.edu/ark/67531/metapth1673394,ark/67531/metapth1673394,"['[Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-127,https://texashistory.unt.edu/ark/67531/metapth1673397,ark/67531/metapth1673397,"['[Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-125,https://texashistory.unt.edu/ark/67531/metapth1673395,ark/67531/metapth1673395,"['[Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-128,https://texashistory.unt.edu/ark/67531/metapth1673398,ark/67531/metapth1673398,"['[Wat Arun temple, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-130,https://texashistory.unt.edu/ark/67531/metapth1673400,ark/67531/metapth1673400,"['[Unidentified building, Wat Arun, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-129,https://texashistory.unt.edu/ark/67531/metapth1673399,ark/67531/metapth1673399,"['[Detailed view of Wat Arun in Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-131,https://texashistory.unt.edu/ark/67531/metapth1673401,ark/67531/metapth1673401,"['[Ruins at Wat Phukhao Thong, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-132,https://texashistory.unt.edu/ark/67531/metapth1673402,ark/67531/metapth1673402,"['[Ruins at Wat Phukhao Thong, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-135,https://texashistory.unt.edu/ark/67531/metapth1673405,ark/67531/metapth1673405,"['[Chedi Phukhao Thong in Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-133,https://texashistory.unt.edu/ark/67531/metapth1673403,ark/67531/metapth1673403,"['[Ruins at Wat Phukhao Thong, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-134,https://texashistory.unt.edu/ark/67531/metapth1673404,ark/67531/metapth1673404,"['[Ruins at Wat Phukhao Thong, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-137,https://texashistory.unt.edu/ark/67531/metapth1673407,ark/67531/metapth1673407,"['[Aerial view of people transporting produce, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-136,https://texashistory.unt.edu/ark/67531/metapth1673406,ark/67531/metapth1673406,"['[Wat Phukhao Thong, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-138,https://texashistory.unt.edu/ark/67531/metapth1673408,ark/67531/metapth1673408,"['[Wooden house, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-139,https://texashistory.unt.edu/ark/67531/metapth1673409,ark/67531/metapth1673409,"['[Hay bales in a field, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-140,https://texashistory.unt.edu/ark/67531/metapth1673410,ark/67531/metapth1673410,"['[Hay bales in a field, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-141,https://texashistory.unt.edu/ark/67531/metapth1673411,ark/67531/metapth1673411,"['[Person transporting goods, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-142,https://texashistory.unt.edu/ark/67531/metapth1673412,ark/67531/metapth1673412,"['[Landscape of buildings, Bangkok, Thailand]']",['1963-04~'],,,
